file_path,summary,status,reason,recommended_action,action_taken,pr_branch,pr_url
docs/WINDOWS_UNREAL_EXECUTOR.md,Windows Unreal SSH executor policy,current,Still valid for Unreal host execution flow,keep,kept,docs/sync-runtime-docs-20260530,https://github.com/m0nklabs/kyberm0nk/pull/1
docs/UNREAL_HEADLESS_PIPELINE.md,Headless Unreal implementation notes,current,Still useful reference for UE workflow,keep,kept,docs/sync-runtime-docs-20260530,https://github.com/m0nklabs/kyberm0nk/pull/1
docs/AGENT_ZERO_PROJECTS.md,Agent Zero project metadata restore flow,current,Still valid runtime restore contract,keep,kept,docs/sync-runtime-docs-20260530,https://github.com/m0nklabs/kyberm0nk/pull/1
docs/crewai/MAIN_QUEST_PROJECT_MANAGER.md,Direct CrewAI main quest path,current,Still valid direct CrewAI operating guide,keep,kept,docs/sync-runtime-docs-20260530,https://github.com/m0nklabs/kyberm0nk/pull/1
docs/crewai/4_BRAIN_ARCHITECTURE.md,CrewAI architecture blueprint,research,Conceptual blueprint and not required for core runtime contract,keep,kept,docs/sync-runtime-docs-20260530,https://github.com/m0nklabs/kyberm0nk/pull/1
docs/CODING_MONSTER_STACK.md,Conceptual multi-framework design,research,Exploratory and non-canonical,keep,kept,docs/sync-runtime-docs-20260530,https://github.com/m0nklabs/kyberm0nk/pull/1
docs/SUPERVISOR_LOOP_PLAN.md,Supervisor design notes,research,Future design and non-canonical,keep,kept,docs/sync-runtime-docs-20260530,https://github.com/m0nklabs/kyberm0nk/pull/1
docs/NAMING.md,Project naming rationale,current,Historical but still accurate context,keep,kept,docs/sync-runtime-docs-20260530,https://github.com/m0nklabs/kyberm0nk/pull/1
docs/VISION_UI.md,Legacy cockpit UI vision,outdated,No longer matches current headless host-native contract,archive,archived,docs/sync-runtime-docs-20260530,https://github.com/m0nklabs/kyberm0nk/pull/1
docs/crewai/LLM_COST_PERFORMANCE_ANALYSIS.md,Historical model-price analysis,research,Research artifact not required by runtime contract,archive,archived,docs/sync-runtime-docs-20260530,https://github.com/m0nklabs/kyberm0nk/pull/1
docs/crewai/LLM_COST_PERFORMANCE_ANALYSIS.html,Interactive analysis artifact,research,Research artifact not required by runtime contract,archive,archived,docs/sync-runtime-docs-20260530,https://github.com/m0nklabs/kyberm0nk/pull/1
docs/kyber-tag.jsonschema,Machine-readable review tag schema,current,Required for parser contract,update,created,docs/sync-runtime-docs-20260530,https://github.com/m0nklabs/kyberm0nk/pull/1
docs/audit-report.md,Audit execution report,current,Canonical report for status and actions,update,updated,docs/sync-runtime-docs-20260530,https://github.com/m0nklabs/kyberm0nk/pull/1
